,Node,Degree,Strenght,Clustering coefficient,Average path length,Maximum path length,Betweenness,Eigenvector centrality,PageRank
17,ABQ,36,105678.0,0.3412698412698413,3.4220563847429517,11,0.004188841409167535,0.029026306080159454,0.001067623057998655
18,ABR,3,2958.0,0.3333333333333333,4.045328911000553,12,0.0005529444290848771,0.0014302114716636958,0.0001624508565448091
19,ABS,1,4391.0,0.0,4.660862354892205,12,0.0,9.173047065482598e-05,0.00011369795400951209
20,ABT,2,2210.0,1.0,4.08955223880597,11,0.0,0.001729300578003223,7.668380266658279e-05
21,ABV,3,3253.0,0.6666666666666666,3.7064676616915424,11,8.555728966776365e-05,0.0036632055658422356,0.00013343862325665635
22,ABX,5,3935.0,0.6,4.212548369264788,11,5.704647071326941e-06,0.0004636435228613022,0.00014744145395070615
23,ABY,1,1410.0,0.0,3.9148700939745718,12,0.0,0.0021686937625305237,5.053444681617488e-05
24,ABZ,22,32727.5,0.2813852813852814,3.5826423438363735,11,0.003747922599096152,0.014687834896488746,0.0006109577139712286
25,ACA,8,13579.0,0.6785714285714286,3.900497512437811,12,4.4186812678579556e-05,0.006383106961828293,0.00017912119177482702
26,ACC,24,16868.5,0.3188405797101449,3.359314538419016,11,0.0007338394738574059,0.024149552046284793,0.00039925310468008943
27,ACE,38,27079.5,0.4751066856330014,3.5301271420674407,11,5.577176755358645e-05,0.041370676206115196,0.0002904850088166596
28,ACH,1,1300.0,0.0,3.98783858485351,12,0.0,0.002115572219096581,5.4566551361793996e-05
29,ACI,3,907.5,1.0,4.506080707573245,12,0.0,0.0008442317532804891,5.368991114313787e-05
30,ACK,6,3841.0,0.6,3.701492537313433,12,0.0004628354992435363,0.0051228279147080575,0.00016019118142204583
31,ACT,4,2406.0,0.8333333333333334,3.9309010503040356,12,5.0972015955464324e-08,0.003611133260794877,5.7799065552190866e-05
32,ACV,5,3987.0,0.6,3.8623548922056385,11,2.5482438706890314e-06,0.002663991868554327,0.0001006459874322699
